Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,Position
0,Blake Griffin,2009,1,80.5,82,83.25,105,35.5,140.5,32,137,248,8.2,22,10.95,3.28,4
1,Terrence Williams,2009,1,77,78.25,81,103.5,37,140.5,30.5,134,213,5.1,9,11.15,3.18,3
2,Gerald Henderson,2009,1,76,77,82.25,102.5,35,137.5,31.5,134,215,4.4,8,11.17,3.14,2
3,Tyler Hansbrough,2009,1,80.25,81.5,83.5,106,34,140,27.5,133.5,234,8.5,18,11.12,3.27,4
4,Earl Clark,2009,1,80.5,82.25,86.5,109.5,33,142.5,28.5,138,228,5.2,5,11.17,3.35,3
6,James Johnson,2009,1,79,79.75,84.75,105.5,35,140.5,30.5,136,257,12,18,11.21,3.23,3
7,Jrue Holiday,2009,1,75.25,76.25,79,100.5,34,134.5,28.5,129,199,6.3,6,10.64,3.21,1
8,Ty Lawson,2009,1,71.25,72.5,72.75,94.5,36.5,131,29,123.5,197,6.6,14,10.98,3.12,1
9,Jeff Teague,2009,1,72.25,73.5,79.5,98.5,36.5,135,30.5,129,175,4.5,13,11.05,3.18,1
11,Eric Maynor,2009,1,74.25,75.25,74.5,97,31.5,128.5,28.5,125.5,164,5.4,8,10.78,3.19,1
12,Darren Collison,2009,1,72.25,73.5,75,96.5,33.5,130,30.5,127,166,5.7,9,10.45,3.1,1
13,Omri Casspi,2009,1,79.75,81.25,81.25,106.5,32.5,139,25.5,132,211,8.6,2,11.15,3.28,3
14,Byron Mullens,2009,1,83.75,85.25,85.5,111,32.5,143.5,28.5,139.5,258,8.5,10,11.1,3.45,4
15,Damion James,2009,1,78.25,79.5,84.75,106,37,143,30,136,224,8.2,14,11.23,3.09,4
16,Rodrigue Beaubois,2009,1,73.25,74.25,81.75,100,39,139,29.5,129.5,182,7.9,3,10.49,3.15,1
17,Taj Gibson,2009,1,80.5,81.75,88,109,30,139,25.5,134.5,214,6.6,12,11.56,3.41,4
19,Greivis Vasquez,2009,1,76.75,78,79.25,101,28,129,24.5,125.5,197,6.9,1,11.13,3.48,1
20,Wayne Ellington,2009,1,76.25,77.25,78.5,100,38,138,31.5,131.5,202,5.5,13,11.14,3.2,2
21,Toney Douglas,2009,1,73,74,78,97.5,32.5,130,28,125.5,183,5.2,15,10.63,3.03,2
22,James Harden,2009,1,76,77.25,82.75,103.5,37,140.5,31.5,135,222,10.1,17,11.1,3.13,2
23,Jeff Pendergraph,2009,1,80.75,82,85,107,35,142,31,138,240,5.5,15,11.98,3.14,3
24,Jermaine Taylor,2009,1,75.5,76.75,80.75,101,37.5,138.5,34,135,207,5.8,16,11.54,3.32,4
25,Dante Cunningham,2009,1,79,80.25,83,106.5,35,141.5,28,134.5,227,4.8,18,11.18,3.26,2
26,DaJuan Summers,2009,1,79.25,80.5,84.75,106.5,34.5,141,29.5,136,243,6.6,15,10.94,3.17,3
28,DeJuan Blair,2009,1,77.25,78.5,86,106.5,33,139.5,26,132.5,277,12,18,11.5,3.45,4
29,Tyreke Evans,2009,1,76,77.25,83.25,104,34,138,28.5,132.5,221,7.1,7,11.81,3.17,1
30,Derrick Brown,2009,1,79.5,80.5,86.5,107.5,35.5,143,30.5,138,225,8.6,20,11.26,3.13,4
31,Jodie Meeks,2009,1,75,76,76.5,98,37,135,28.5,126.5,211,8,14,10.96,3.1,3
32,Marcus Thornton,2009,1,74.75,75.75,77,99,33,132,31,130,194,4.8,14,10.73,3.28,2
